M4Ia	M	4	Ia	11	1.10E+06	4.18E+03	2940	1.77	-7	-3.36	-10.36	1	0.725490196	0.407843137	2.1171E-10	2.18E-05	5.91E-05	9.9E+02	1.4E+03	4.4E+02
M4Ib	M	4	Ib	8.9	2.77E+05	2.09E+03	2940	1.77	-5.5	-3.36	-8.86	1	0.725490196	0.407843137	1.3703E-09	3.28E-05	8.91E-05	5.0E+02	7.1E+02	2.2E+02
M4II	M	4	II	6.7	2.31E+04	6.04E+02	2940	1.77	-2.8	-3.36	-6.16	1	0.780392157	0.447058824	4.2741E-08	7.78E-05	2.11E-04	1.4E+02	2.1E+02	6.3E+01
M4III	M	4	III	4.6	2.77E+03	2.09E+02	2940	1.77	-0.5	-3.36	-3.86	1	0.807843137	0.498039216	7.0826E-07	1.36E-04	3.70E-04	5.0E+01	7.1E+01	2.2E+01
M4IV	M	4	IV	2.4	1.27E+02	4.83E+01	2833	1.83	3.2	-3.71	-0.51	1	0.819607843	0.607843137	2.9940E-05	2.47E-04	6.72E-04	1.1E+01	1.5E+01	4.7E+00
M4V	M	4	V	0.3	1.06E-02	4.40E-01	2833	1.83	13.4	-3.71	9.69	1	0.788235294	0.498039216	4.9504E+00	1.70E-03	4.61E-03	9.7E-02	1.4E-01	4.3E-02
M4VI	M	4	VI	0.1	2.66E-03	2.21E-01	2833	1.83	14.9	-3.71	11.19	1	0.788235294	0.498039216	1.3023E+01	7.81E-04	2.12E-03	4.8E-02	7.0E-02	2.1E-02

M5Ia0	M	5	Ia0	12.5	1.53E+07	1.78E+04	2750	1.88	-9.2	-4.01	-13.21	1	0.698039216	0.305882353	3.1155E-12	6.06E-06	1.65E-05	3.7E+03	5.3E+03	1.6E+03
M5Ia	M	5	Ia	10.5	2.02E+06	6.45E+03	2750	1.88	-7	-4.01	-11.01	1	0.698039216	0.305882353	5.5003E-11	1.33E-05	3.60E-05	1.3E+03	1.9E+03	5.9E+02
M5Ib	M	5	Ib	8.4	5.07E+05	3.23E+03	2750	1.88	-5.5	-4.01	-9.51	1	0.698039216	0.305882353	3.5039E-10	1.97E-05	5.34E-05	6.7E+02	9.6E+02	2.9E+02
M5II	M	5	II	6.4	4.62E+04	9.76E+02	2750	1.88	-2.9	-4.01	-6.91	1	0.77254902	0.431372549	9.6762E-09	4.53E-05	1.23E-04	2.0E+02	2.9E+02	8.9E+01
M5III	M	5	III	4.3	5.07E+03	3.23E+02	2750	1.88	-0.5	-4.01	-4.51	1	0.77254902	0.48627451	1.7936E-07	8.05E-05	2.19E-04	6.7E+01	9.6E+01	2.9E+01
M5IV	M	5	IV	2.3	2.07E+02	6.94E+01	2667	1.93	3.3	-4.34	-1.04	1	0.819607843	0.603921569	9.6722E-06	1.63E-04	4.42E-04	1.4E+01	1.9E+01	6.0E+00
M5V	M	5	V	0.2	6.24E-03	3.81E-01	2667	1.93	14.6	-4.34	10.26	1	0.8	0.435294118	5.0831E+00	1.14E-03	3.10E-03	7.4E-02	1.1E-01	3.3E-02
M5VI	M	5	VI	0.1	1.72E-03	2.00E-01	2667	1.93	16	-4.34	11.66	1	0.8	0.435294118	1.7571E+01	8.63E-04	2.34E-03	3.9E-02	5.6E-02	1.7E-02

M6Ia0	M	6	Ia0	12.4	2.88E+07	2.81E+04	2560	2	-9.1	-4.8	-13.9	1	0.670588235	0.203921569	7.8556E-13	3.80E-06	1.03E-05	5.1E+03	7.3E+03	2.2E+03
M6Ia	M	6	Ia	10.3	4.17E+06	1.07E+04	2560	2	-7	-4.8	-11.8	1	0.670588235	0.203921569	1.1818E-11	7.79E-06	2.12E-05	1.9E+03	2.8E+03	8.5E+02
M6Ib	M	6	Ib	8.3	9.55E+05	5.12E+03	2560	2	-5.4	-4.8	-10.2	1	0.670588235	0.203921569	8.6925E-11	1.22E-05	3.31E-05	9.2E+02	1.3E+03	4.0E+02
M6II	M	6	II	6.3	9.55E+04	1.62E+03	2560	2	-2.9	-4.8	-7.7	1	0.764705882	0.411764706	2.0829E-09	2.67E-05	7.25E-05	2.9E+02	4.2E+02	1.3E+02
M6III	M	6	III	4.2	9.55E+03	5.12E+02	2560	2	-0.4	-4.8	-5.2	1	0.698039216	0.474509804	4.3986E-08	4.92E-05	1.34E-04	9.2E+01	1.3E+02	4.0E+01
M6IV	M	6	IV	2.2	4.10E+02	1.11E+02	2500	2.03	3.3	-5.08	-1.78	1	0.815686275	0.6	2.2612E-06	9.59E-05	2.60E-04	1.9E+01	2.7E+01	8.4E+00
M6V	M	6	V	0.2	4.50E-03	3.68E-01	2500	2.03	15.7	-5.08	10.62	1	0.764705882	0.439215686	5.6411E+00	1.18E-03	3.21E-03	6.3E-02	9.1E-02	2.8E-02
M6VI	M	6	VI	0.1	1.63E-03	2.22E-01	2500	2.03	16.8	-5.08	11.72	1	0.764705882	0.439215686	1.2847E+01	7.78E-04	2.11E-03	3.8E-02	5.5E-02	1.7E-02

M7Ia0	M	7	Ia0	12.3	6.96E+07	5.10E+04	2370	2.12	-9.1	-5.76	-14.86	1	0.643137255	0.101960784	1.3034E-13	2.07E-06	5.62E-06	7.9E+03	1.1E+04	3.5E+03
M7Ia	M	7	Ia	10.2	9.18E+06	1.85E+04	2370	2.12	-6.9	-5.76	-12.66	1	0.643137255	0.101960784	2.2644E-12	4.45E-06	1.21E-05	2.9E+03	4.1E+03	1.3E+03
M7Ib	M	7	Ib	8.2	2.10E+06	8.87E+03	2370	2.12	-5.3	-5.76	-11.06	1	0.643137255	0.101960784	1.6517E-11	6.93E-06	1.88E-05	1.4E+03	2.0E+03	6.0E+02
M7II	M	7	II	6.2	2.53E+05	3.07E+03	2370	2.12	-3	-5.76	-8.76	1	0.756862745	0.392156863	3.0120E-10	1.38E-05	3.75E-05	4.7E+02	6.8E+02	2.1E+02
M7III	M	7	III	4.2	2.10E+04	8.87E+02	2370	2.12	-0.3	-5.76	-6.06	1	0.647058824	0.380392157	8.4597E-09	2.84E-05	7.72E-05	1.4E+02	2.0E+02	6.0E+01
M7IV	M	7	IV	2.1	9.26E+02	1.92E+02	2333	2.14	3.3	-5.97	-2.67	1	0.811764706	0.596078431	4.1705E-07	5.21E-05	1.41E-04	2.9E+01	4.1E+01	1.3E+01
M7V	M	7	V	0.1	3.69E-03	3.83E-01	2333	2.14	16.8	-5.97	10.83	1	0.77254902	0.435294118	2.5020E+00	4.51E-04	1.22E-03	5.7E-02	8.2E-02	2.5E-02
M7VI	M	7	VI	0.1	1.94E-03	2.78E-01	2333	2.14	17.5	-5.97	11.53	1	0.77254902	0.435294118	6.5425E+00	6.21E-04	1.69E-03	4.1E-02	6.0E-02	1.8E-02

M8Ia0	M	8	Ia0	12.1	2.05E+08	1.03E+05	2180	2.25	-9.1	-6.93	-16.03	1	0.615686275	0	1.5565E-14	1.00E-06	2.72E-06	1.3E+04	1.9E+04	5.9E+03
M8Ia	M	8	Ia	10.1	2.70E+07	3.76E+04	2180	2.25	-6.9	-6.93	-13.83	1	0.615686275	0	2.6708E-13	2.16E-06	5.86E-06	4.9E+03	7.0E+03	2.2E+03
M8Ib	M	8	Ib	8.1	5.15E+06	1.64E+04	2180	2.25	-5.1	-6.93	-12.03	1	0.615686275	0	2.5812E-12	3.69E-06	1.00E-05	2.1E+03	3.1E+03	9.4E+02
M8II	M	8	II	6.1	7.44E+05	6.23E+03	2180	2.25	-3	-6.93	-9.93	1	0.752941176	0.376470588	3.5460E-11	6.66E-06	1.81E-05	8.1E+02	1.2E+03	3.6E+02
M8III	M	8	III	4.1	5.15E+04	1.64E+03	2180	2.25	-0.1	-6.93	-7.03	1	0.654901961	0.380392157	1.3066E-09	1.49E-05	4.04E-05	2.1E+02	3.1E+02	9.4E+01
M8IV	M	8	IV	2.1	2.44E+03	3.61E+02	2167	2.26	3.3	-7.02	-3.72	1	0.807843137	0.592156863	6.2744E-08	2.77E-05	7.52E-05	4.6E+01	6.7E+01	2.0E+01
M8V	M	8	V	0.1	3.53E-03	4.34E-01	2167	2.26	17.9	-7.02	10.88	1	0.776470588	0.42745098	1.7195E+00	3.98E-04	1.08E-03	5.6E-02	8.1E-02	2.5E-02
M8VI	M	8	VI	0.1	2.44E-03	3.61E-01	2167	2.26	18.3	-7.02	11.28	1	0.776470588	0.42745098	2.9878E+00	4.78E-04	1.30E-03	4.6E-02	6.7E-02	2.0E-02

M9Ia0	M	9	Ia0	12	7.11E+08	2.31E+05	1990	2.4	-9	-8.38	-17.38	1	0.615686275	0	1.3684E-15	4.42E-07	1.20E-06	2.5E+04	3.6E+04	1.1E+04
M9Ia	M	9	Ia	10	1.03E+08	8.79E+04	1990	2.4	-6.9	-8.38	-15.28	1	0.615686275	0	2.0697E-14	9.12E-07	2.48E-06	9.5E+03	1.4E+04	4.2E+03
M9Ib	M	9	Ib	8	1.79E+07	3.67E+04	1990	2.4	-5	-8.38	-13.38	1	0.615686275	0	2.2749E-13	1.62E-06	4.40E-06	4.0E+03	5.7E+03	1.8E+03
M9II	M	9	II	6	2.83E+06	1.46E+04	1990	2.4	-3	-8.38	-11.38	1	0.745098039	0.356862745	2.7100E-12	2.78E-06	7.54E-06	1.6E+03	2.3E+03	7.0E+02
M9III	M	9	III	4.1	1.79E+05	3.67E+03	1990	2.4	0	-8.38	-8.38	1	0.91372549	0.603921569	1.1659E-10	6.65E-06	1.81E-05	4.0E+02	5.7E+02	1.8E+02
M9IV	M	9	IV	2.1	7.91E+03	7.64E+02	2000	2.39	3.3	-8.3	-5	1	0.803921569	0.588235294	6.6193E-09	1.31E-05	3.55E-05	8.4E+01	1.2E+02	3.7E+01
M9V	M	9	V	0.1	4.15E-03	5.53E-01	2000	2.39	19	-8.3	10.7	1	0.776470588	0.423529412	8.3119E-01	3.12E-04	8.48E-04	6.1E-02	8.7E-02	2.7E-02
M9VI	M	9	VI	0.1	4.15E-03	5.53E-01	2000	2.39	19	-8.3	10.7	1	0.776470588	0.423529412	8.3119E-01	3.12E-04	8.48E-04	6.1E-02	8.7E-02	2.7E-02

N0Ia0	N	0	Ia0	15.8	1.90E+06	3.46E+03	3700	1.41	-9.3	-1.65	-10.95	1	0.8	0.560784314	5.3617E-10	4.26E-05	1.16E-04	1.3E+03	1.9E+03	5.7E+02
N0Ia	N	0	Ia	13.3	2.74E+05	1.31E+03	3700	1.41	-7.2	-1.65	-8.85	1	0.8	0.560784314	8.3160E-09	8.95E-05	2.43E-04	4.9E+02	7.1E+02	2.2E+02
N0Ib	N	0	Ib	10.7	5.73E+04	6.00E+02	3700	1.41	-5.5	-1.65	-7.15	1	0.8	0.560784314	6.9631E-08	1.46E-04	3.97E-04	2.3E+02	3.2E+02	9.9E+01
N0II	N	0	II	8.2	3.96E+03	1.58E+02	3700	1.41	-2.6	-1.65	-4.25	1	0.811764706	0.521568627	2.9223E-06	3.89E-04	1.06E-03	5.9E+01	8.5E+01	2.6E+01
N0III	N	0	III	5.6	6.89E+02	6.58E+01	3700	1.41	-0.7	-1.65	-2.35	1	0.796078431	0.517647059	2.7630E-05	5.62E-04	1.53E-03	2.5E+01	3.6E+01	1.1E+01
N0IV	N	0	IV	3.1	2.60E+01	1.43E+01	3500	1.49	3.2	-1.99	1.21	1	0.835294118	0.62745098	1.4901E-03	1.18E-03	3.19E-03	4.8E+00	6.9E+00	2.1E+00
N0V	N	0	V	0.5	1.25E-01	9.90E-01	3500	1.49	9	-1.99	7.01	1	0.764705882	0.545098039	7.2434E-01	1.49E-03	4.05E-03	3.3E-01	4.8E-01	1.5E-01
N0VI	N	0	VI	0.2	3.76E-02	5.44E-01	3500	1.49	10.3	-1.99	8.31	1	0.764705882	0.545098039	1.7463E+00	8.00E-04	2.17E-03	1.8E-01	2.6E-01	8.0E-02

N1Ia0	N	1	Ia0	15.1	2.56E+06	4.46E+03	3510	1.49	-9.3	-1.97	-11.27	1	0.792156863	0.541176471	2.3925E-10	3.11E-05	8.45E-05	1.5E+03	2.2E+03	6.6E+02
N1Ia	N	1	Ia	12.7	3.37E+05	1.62E+03	3510	1.49	-7.1	-1.97	-9.07	1	0.792156863	0.541176471	4.1989E-09	6.80E-05	1.85E-04	5.5E+02	7.9E+02	2.4E+02
N1Ib	N	1	Ib	10.2	7.73E+04	7.75E+02	3510	1.49	-5.5	-1.97	-7.47	1	0.792156863	0.541176471	3.0801E-08	1.06E-04	2.88E-04	2.6E+02	3.8E+02	1.2E+02
N1II	N	1	II	7.8	5.86E+03	2.13E+02	3510	1.49	-2.7	-1.97	-4.67	1	0.803921569	0.501960784	1.1346E-06	2.70E-04	7.33E-04	7.2E+01	1.0E+02	3.2E+01
N1III	N	1	III	5.3	9.29E+02	8.50E+01	3510	1.49	-0.7	-1.97	-2.67	1	0.784313725	0.474509804	1.2131E-05	4.04E-04	1.10E-03	2.9E+01	4.1E+01	1.3E+01
N1IV	N	1	IV	2.9	3.55E+01	1.84E+01	3333	1.57	3.2	-2.33	0.87	1	0.831372549	0.623529412	6.5437E-04	8.36E-04	2.27E-03	5.6E+00	8.1E+00	2.5E+00
N1V	N	1	V	0.5	6.18E-02	7.68E-01	3333	1.57	10.1	-2.33	7.77	1	0.8	0.556862745	1.5515E+00	1.92E-03	5.22E-03	2.3E-01	3.4E-01	1.0E-01
N1VI	N	1	VI	0.2	1.86E-02	4.22E-01	3333	1.57	11.4	-2.33	9.07	1	0.8	0.556862745	3.7408E+00	1.03E-03	2.80E-03	1.3E-01	1.9E-01	5.7E-02

N2Ia0	N	2	Ia0	14.5	3.65E+06	5.95E+03	3320	1.58	-9.3	-2.36	-11.66	1	0.756862745	0.407843137	9.6759E-11	2.21E-05	6.00E-05	1.8E+03	2.6E+03	7.9E+02
N2Ia	N	2	Ia	12.1	4.81E+05	2.16E+03	3320	1.58	-7.1	-2.36	-9.46	1	0.756862745	0.407843137	1.6877E-09	4.78E-05	1.30E-04	6.5E+02	9.4E+02	2.9E+02
N2Ib	N	2	Ib	9.8	1.10E+05	1.03E+03	3320	1.58	-5.5	-2.36	-7.86	1	0.756862745	0.407843137	1.2606E-08	7.57E-05	2.06E-04	3.1E+02	4.5E+02	1.4E+02
N2II	N	2	II	7.4	8.36E+03	2.85E+02	3320	1.58	-2.7	-2.36	-5.06	1	0.796078431	0.48627451	4.4934E-07	1.88E-04	5.11E-04	8.6E+01	1.2E+02	3.8E+01
N2III	N	2	III	5.1	1.21E+03	1.08E+02	3320	1.58	-0.6	-2.36	-2.96	1	0.776470588	0.462745098	5.6908E-06	3.02E-04	8.21E-04	3.3E+01	4.7E+01	1.4E+01
N2IV	N	2	IV	2.7	5.09E+01	2.44E+01	3167	1.65	3.2	-2.72	0.48	1	0.82745098	0.615686275	2.6126E-04	5.73E-04	1.56E-03	6.7E+00	9.7E+00	3.0E+00
N2V	N	2	V	0.4	3.21E-02	6.14E-01	3167	1.65	11.2	-2.72	8.48	1	0.768627451	0.51372549	2.4290E+00	1.79E-03	4.85E-03	1.7E-01	2.4E-01	7.4E-02
N2VI	N	2	VI	0.2	8.85E-03	3.22E-01	3167	1.65	12.6	-2.72	9.88	1	0.768627451	0.51372549	8.4205E+00	1.35E-03	3.67E-03	8.9E-02	1.3E-01	3.9E-02

N3Ia0	N	3	Ia0	13.8	5.07E+06	7.89E+03	3130	1.67	-9.2	-2.81	-12.01	1	0.752941176	0.462745098	3.9493E-11	1.56E-05	4.24E-05	2.1E+03	3.0E+03	9.3E+02
N3Ia	N	3	Ia	11.6	7.33E+05	3.00E+03	3130	1.67	-7.1	-2.81	-9.91	1	0.752941176	0.462745098	6.0391E-10	3.26E-05	8.84E-05	8.0E+02	1.2E+03	3.5E+02
N3Ib	N	3	Ib	9.3	1.68E+05	1.44E+03	3130	1.67	-5.5	-2.81	-8.31	1	0.752941176	0.462745098	4.3780E-09	5.05E-05	1.37E-04	3.8E+02	5.5E+02	1.7E+02
N3II	N	3	II	7.1	1.40E+04	4.14E+02	3130	1.67	-2.8	-2.81	-5.61	1	0.788235294	0.466666667	1.4065E-07	1.23E-04	3.33E-04	1.1E+02	1.6E+02	4.9E+01
N3III	N	3	III	4.8	1.84E+03	1.50E+02	3130	1.67	-0.6	-2.81	-3.41	1	0.784313725	0.466666667	1.9991E-06	2.01E-04	5.45E-04	4.0E+01	5.8E+01	1.8E+01
N3IV	N	3	IV	2.6	7.76E+01	3.36E+01	3000	1.74	3.2	-3.18	0.02	1	0.823529412	0.611764706	9.6345E-05	3.96E-04	1.07E-03	8.3E+00	1.2E+01	3.7E+00
N3V	N	3	V	0.3	1.78E-02	5.09E-01	3000	1.74	12.3	-3.18	9.12	1	0.807843137	0.505882353	3.1977E+00	1.47E-03	3.98E-03	1.3E-01	1.8E-01	5.5E-02
N3VI	N	3	VI	0.2	4.90E-03	2.67E-01	3000	1.74	13.7	-3.18	10.52	1	0.807843137	0.505882353	1.4770E+01	1.63E-03	4.42E-03	6.6E-02	9.5E-02	2.9E-02

N4Ia0	N	4	Ia0	13.2	8.38E+06	1.15E+04	2940	1.77	-9.2	-3.36	-12.56	1	0.725490196	0.407843137	1.2200E-11	1.01E-05	2.74E-05	2.7E+03	3.9E+03	1.2E+03
N4Ia	N	4	Ia	11	1.10E+06	4.18E+03	2940	1.77	-7	-3.36	-10.36	1	0.725490196	0.407843137	2.1171E-10	2.18E-05	5.91E-05	9.9E+02	1.4E+03	4.4E+02
N4Ib	N	4	Ib	8.9	2.77E+05	2.09E+03	2940	1.77	-5.5	-3.36	-8.86	1	0.725490196	0.407843137	1.3703E-09	3.28E-05	8.91E-05	5.0E+02	7.1E+02	2.2E+02
N4II	N	4	II	6.7	2.31E+04	6.04E+02	2940	1.77	-2.8	-3.36	-6.16	1	0.780392157	0.447058824	4.2741E-08	7.78E-05	2.11E-04	1.4E+02	2.1E+02	6.3E+01
N4III	N	4	III	4.6	2.77E+03	2.09E+02	2940	1.77	-0.5	-3.36	-3.86	1	0.807843137	0.498039216	7.0826E-07	1.36E-04	3.70E-04	5.0E+01	7.1E+01	2.2E+01
N4IV	N	4	IV	2.4	1.27E+02	4.83E+01	2833	1.83	3.2	-3.71	-0.51	1	0.819607843	0.607843137	2.9940E-05	2.47E-04	6.72E-04	1.1E+01	1.5E+01	4.7E+00
N4V	N	4	V	0.3	1.06E-02	4.40E-01	2833	1.83	13.4	-3.71	9.69	1	0.788235294	0.498039216	4.9504E+00	1.70E-03	4.61E-03	9.7E-02	1.4E-01	4.3E-02
N4VI	N	4	VI	0.1	2.66E-03	2.21E-01	2833	1.83	14.9	-3.71	11.19	1	0.788235294	0.498039216	1.3023E+01	7.81E-04	2.12E-03	4.8E-02	7.0E-02	2.1E-02

N5Ia0	N	5	Ia0	12.5	1.53E+07	1.78E+04	2750	1.88	-9.2	-4.01	-13.21	1	0.698039216	0.305882353	3.1155E-12	6.06E-06	1.65E-05	3.7E+03	5.3E+03	1.6E+03
N5Ia	N	5	Ia	10.5	2.02E+06	6.45E+03	2750	1.88	-7	-4.01	-11.01	1	0.698039216	0.305882353	5.5003E-11	1.33E-05	3.60E-05	1.3E+03	1.9E+03	5.9E+02
N5Ib	N	5	Ib	8.4	5.07E+05	3.23E+03	2750	1.88	-5.5	-4.01	-9.51	1	0.698039216	0.305882353	3.5039E-10	1.97E-05	5.34E-05	6.7E+02	9.6E+02	2.9E+02
N5II	N	5	II	6.4	4.62E+04	9.76E+02	2750	1.88	-2.9	-4.01	-6.91	1	0.77254902	0.431372549	9.6762E-09	4.53E-05	1.23E-04	2.0E+02	2.9E+02	8.9E+01
N5III	N	5	III	4.3	5.07E+03	3.23E+02	2750	1.88	-0.5	-4.01	-4.51	1	0.77254902	0.48627451	1.7936E-07	8.05E-05	2.19E-04	6.7E+01	9.6E+01	2.9E+01
N5IV	N	5	IV	2.3	2.07E+02	6.94E+01	2667	1.93	3.3	-4.34	-1.04	1	0.819607843	0.603921569	9.6722E-06	1.63E-04	4.42E-04	1.4E+01	1.9E+01	6.0E+00
N5V	N	5	V	0.2	6.24E-03	3.81E-01	2667	1.93	14.6	-4.34	10.26	1	0.8	0.435294118	5.0831E+00	1.14E-03	3.10E-03	7.4E-02	1.1E-01	3.3E-02
N5VI	N	5	VI	0.1	1.72E-03	2.00E-01	2667	1.93	16	-4.34	11.66	1	0.8	0.435294118	1.7571E+01	8.63E-04	2.34E-03	3.9E-02	5.6E-02	1.7E-02

N6Ia0	N	6	Ia0	12.4	2.88E+07	2.81E+04	2560	2	-9.1	-4.8	-13.9	1	0.670588235	0.203921569	7.8556E-13	3.80E-06	1.03E-05	5.1E+03	7.3E+03	2.2E+03
N6Ia	N	6	Ia	10.3	4.17E+06	1.07E+04	2560	2	-7	-4.8	-11.8	1	0.670588235	0.203921569	1.1818E-11	7.79E-06	2.12E-05	1.9E+03	2.8E+03	8.5E+02
N6Ib	N	6	Ib	8.3	9.55E+05	5.12E+03	2560	2	-5.4	-4.8	-10.2	1	0.670588235	0.203921569	8.6925E-11	1.22E-05	3.31E-05	9.2E+02	1.3E+03	4.0E+02
N6II	N	6	II	6.3	9.55E+04	1.62E+03	2560	2	-2.9	-4.8	-7.7	1	0.764705882	0.411764706	2.0829E-09	2.67E-05	7.25E-05	2.9E+02	4.2E+02	1.3E+02
N6III	N	6	III	4.2	9.55E+03	5.12E+02	2560	2	-0.4	-4.8	-5.2	1	0.698039216	0.474509804	4.3986E-08	4.92E-05	1.34E-04	9.2E+01	1.3E+02	4.0E+01
N6IV	N	6	IV	2.2	4.10E+02	1.11E+02	2500	2.03	3.3	-5.08	-1.78	1	0.815686275	0.6	2.2612E-06	9.59E-05	2.60E-04	1.9E+01	2.7E+01	8.4E+00
N6V	N	6	V	0.2	4.50E-03	3.68E-01	2500	2.03	15.7	-5.08	10.62	1	0.764705882	0.439215686	5.6411E+00	1.18E-03	3.21E-03	6.3E-02	9.1E-02	2.8E-02
N6VI	N	6	VI	0.1	1.63E-03	2.22E-01	2500	2.03	16.8	-5.08	11.72	1	0.764705882	0.439215686	1.2847E+01	7.78E-04	2.11E-03	3.8E-02	5.5E-02	1.7E-02

N7Ia0	N	7	Ia0	12.3	6.96E+07	5.10E+04	2370	2.12	-9.1	-5.76	-14.86	1	0.643137255	0.101960784	1.3034E-13	2.07E-06	5.62E-06	7.9E+03	1.1E+04	3.5E+03
N7Ia	N	7	Ia	10.2	9.18E+06	1.85E+04	2370	2.12	-6.9	-5.76	-12.66	1	0.643137255	0.101960784	2.2644E-12	4.45E-06	1.21E-05	2.9E+03	4.1E+03	1.3E+03
N7Ib	N	7	Ib	8.2	2.10E+06	8.87E+03	2370	2.12	-5.3	-5.76	-11.06	1	0.643137255	0.101960784	1.6517E-11	6.93E-06	1.88E-05	1.4E+03	2.0E+03	6.0E+02
N7II	N	7	II	6.2	2.53E+05	3.07E+03	2370	2.12	-3	-5.76	-8.76	1	0.756862745	0.392156863	3.0120E-10	1.38E-05	3.75E-05	4.7E+02	6.8E+02	2.1E+02
N7III	N	7	III	4.2	2.10E+04	8.87E+02	2370	2.12	-0.3	-5.76	-6.06	1	0.647058824	0.380392157	8.4597E-09	2.84E-05	7.72E-05	1.4E+02	2.0E+02	6.0E+01
N7IV	N	7	IV	2.1	9.26E+02	1.92E+02	2333	2.14	3.3	-5.97	-2.67	1	0.811764706	0.596078431	4.1705E-07	5.21E-05	1.41E-04	2.9E+01	4.1E+01	1.3E+01
N7V	N	7	V	0.1	3.69E-03	3.83E-01	2333	2.14	16.8	-5.97	10.83	1	0.77254902	0.435294118	2.5020E+00	4.51E-04	1.22E-03	5.7E-02	8.2E-02	2.5E-02
N7VI	N	7	VI	0.1	1.94E-03	2.78E-01	2333	2.14	17.5	-5.97	11.53	1	0.77254902	0.435294118	6.5425E+00	6.21E-04	1.69E-03	4.1E-02	6.0E-02	1.8E-02

N8Ia0	N	8	Ia0	12.1	2.05E+08	1.03E+05	2180	2.25	-9.1	-6.93	-16.03	1	0.615686275	0	1.5565E-14	1.00E-06	2.72E-06	1.3E+04	1.9E+04	5.9E+03
N8Ia	N	8	Ia	10.1	2.70E+07	3.76E+04	2180	2.25	-6.9	-6.93	-13.83	1	0.615686275	0	2.6708E-13	2.16E-06	5.86E-06	4.9E+03	7.0E+03	2.2E+03
N8Ib	N	8	Ib	8.1	5.15E+06	1.64E+04	2180	2.25	-5.1	-6.93	-12.03	1	0.615686275	0	2.5812E-12	3.69E-06	1.00E-05	2.1E+03	3.1E+03	9.4E+02
N8II	N	8	II	6.1	7.44E+05	6.23E+03	2180	2.25	-3	-6.93	-9.93	1	0.752941176	0.376470588	3.5460E-11	6.66E-06	1.81E-05	8.1E+02	1.2E+03	3.6E+02
N8III	N	8	III	4.1	5.15E+04	1.64E+03	2180	2.25	-0.1	-6.93	-7.03	1	0.654901961	0.380392157	1.3066E-09	1.49E-05	4.04E-05	2.1E+02	3.1E+02	9.4E+01
N8IV	N	8	IV	2.1	2.44E+03	3.61E+02	2167	2.26	3.3	-7.02	-3.72	1	0.807843137	0.592156863	6.2744E-08	2.77E-05	7.52E-05	4.6E+01	6.7E+01	2.0E+01
N8V	N	8	V	0.1	3.53E-03	4.34E-01	2167	2.26	17.9	-7.02	10.88	1	0.776470588	0.42745098	1.7195E+00	3.98E-04	1.08E-03	5.6E-02	8.1E-02	2.5E-02
N8VI	N	8	VI	0.1	2.44E-03	3.61E-01	2167	2.26	18.3	-7.02	11.28	1	0.776470588	0.42745098	2.9878E+00	4.78E-04	1.30E-03	4.6E-02	6.7E-02	2.0E-02

N9Ia0	N	9	Ia0	12	7.11E+08	2.31E+05	1990	2.4	-9	-8.38	-17.38	1	0.615686275	0	1.3684E-15	4.42E-07	1.20E-06	2.5E+04	3.6E+04	1.1E+04
N9Ia	N	9	Ia	10	1.03E+08	8.79E+04	1990	2.4	-6.9	-8.38	-15.28	1	0.615686275	0	2.0697E-14	9.12E-07	2.48E-06	9.5E+03	1.4E+04	4.2E+03
N9Ib	N	9	Ib	8	1.79E+07	3.67E+04	1990	2.4	-5	-8.38	-13.38	1	0.615686275	0	2.2749E-13	1.62E-06	4.40E-06	4.0E+03	5.7E+03	1.8E+03
N9II	N	9	II	6	2.83E+06	1.46E+04	1990	2.4	-3	-8.38	-11.38	1	0.745098039	0.356862745	2.7100E-12	2.78E-06	7.54E-06	1.6E+03	2.3E+03	7.0E+02
N9III	N	9	III	4.1	1.79E+05	3.67E+03	1990	2.4	0	-8.38	-8.38	1	0.91372549	0.603921569	1.1659E-10	6.65E-06	1.81E-05	4.0E+02	5.7E+02	1.8E+02
N9IV	N	9	IV	2.1	7.91E+03	7.64E+02	2000	2.39	3.3	-8.3	-5	1	0.803921569	0.588235294	6.6193E-09	1.31E-05	3.55E-05	8.4E+01	1.2E+02	3.7E+01
N9V	N	9	V	0.1	4.15E-03	5.53E-01	2000	2.39	19	-8.3	10.7	1	0.776470588	0.423529412	8.3119E-01	3.12E-04	8.48E-04	6.1E-02	8.7E-02	2.7E-02
N9VI	N	9	VI	0.1	4.15E-03	5.53E-01	2000	2.39	19	-8.3	10.7	1	0.776470588	0.423529412	8.3119E-01	3.12E-04	8.48E-04	6.1E-02	8.7E-02	2.7E-02

WC0Ia0	WC	0	Ia0	160	3.41E+07	8.02E+01	50000	-0.35	-9.5	-4.58	-14.08	0.564705882	0.650980392	1	4.3599E-04	4.03E-02	1.09E-01	5.5E+03	7.9E+03	2.4E+03
WC0Ia	WC	0	Ia	150	2.59E+06	2.21E+01	50000	-0.35	-6.7	-4.58	-11.28	0.564705882	0.650980392	1	1.9534E-02	1.34E-01	3.64E-01	1.5E+03	2.2E+03	6.7E+02
WC0Ib	WC	0	Ib	140	2.15E+06	2.02E+01	50000	-0.35	-6.5	-4.58	-11.08	0.564705882	0.650980392	1	2.3875E-02	1.34E-01	3.63E-01	1.4E+03	2.0E+03	6.1E+02
